,Company,Profile,img_link,Location,description,About,Website Link,Strating At
0,バナナラボ,https://webflow.com/@bananalabo,https://assets-global.website-files.com/6320a2f3bd0b234991397e96/644361ba04a486a79722b604_sCcG5iIDhsRxsVX8-Ga7MuvI9xNvpVO9QD5zI4fYdBM.png,"Osaka,Japan","私たちは、日本のものづくりの精神を継承しており、ウェブアクセシビリティを正しく導入することで、障がい者差別のない平等な情報社会の実現を目指しています。

ウェブアクセシビリティには、色覚異常や視覚障害を持つ人々にとっても、ウェブサイトを利用しやすくするための様々な要素が含まれます。

このような情報格差を解消するために、ウェブアクセシビリティに関する情報普及活動や、ウェブサイトのアクセシビリティの向上に取り組んでいます。","私たちは、日本のものづくりの精神を継承しており、ウェブアクセシビリティを正しく導入することで、障がい者差別のない平等な情報社会の実現を目指しています。

ウェブアクセシビリティには、色覚異常や視覚障害を持つ人々にとっても、ウェブサイトを利用しやすくするための様々な要素が含まれます。

このような情報格差を解消するために、ウェブアクセシビリティに関する情報普及活動や、ウェブサイトのアクセシビリティの向上に取り組んでいます。",https://www.bananalabo.com/,"$5,500"
1,Lenker Consulting,https://webflow.com/@LENKER,https://assets-global.website-files.com/6320a2f3bd0b234991397e96/636b494939479e2b0442f0d3_61d89010216c5bf3ac6165ed_Block_Logo_v3_1.jpeg,"Delano,United States","We help you become the undeniable solution in your market, and the brand your audiences know, trust, and love.","Throughout our history, LENKER's values-driven mission has been to employ innovative, effective, and ethical marketing practices that enable clients to win in their respective markets, while ensuring that their customers, clients, subscribers, and/or audiences win as well.

WE'RE OBSESSED WITH YOUR SUCCESS. 

Our goal is to help you become the undeniable solution in your market, and the brand your audiences know, trust, and love.",https://lenker.com,"$2,000"
2,Mangrove Web Development,https://webflow.com/@Mangrove-Web-Team,https://assets-global.website-files.com/6320a2f3bd0b234991397e96/636b4f7d51929677453ff4fc_61e3503bea8ad42be426dd95_Group_1130.png,"Oakland,United States",Mangrove Web is a purpose-driven website design and development company and a certified B Corp.,"Mangrove Web Development is a woman-owned website design and development company and a certified B Corp. Our mission is to build websites that amplify the work of change-making organizations and increase the competitive power of businesses owned by historically marginalized people. Within our own organization, our mission is to expand tech career opportunities for women and people of color.",https://mangrove-web.com/,"$15,000"
3,Jaytel,https://webflow.com/@jaytel,https://assets-global.website-files.com/6320a2f3bd0b234991397e96/642878cb1173b5f911721996_c3_mNxbPIVdsNd4GwwJtR9qzdtHdQWLf3xCzBnpUpI0.png,"New York City,United States","Jaytel is an independent, creative, and collaborative studio based out of New York City.",Jaytel is an independent designer creating interactive experiences.,https://www.jaytel.com/,"$15,000"
4,Devtech Limited,https://webflow.com/@devtech,https://assets-global.website-files.com/6320a2f3bd0b234991397e96/64132c5b0a2193b0d0b89a91_vW5cGLaAFzrou1W1QoZzvr-7O8i-QU-j4NuzSDpZn4U.png,"London,United Kingdom",Saturized is a digital agency where your powerful ideas get turned into digital experiences that disrupt industries and move people forward.,"From research to development, Saturized offers you an end-to-end strategy relying on customer-focused design, data-driven approach, and brand-new technologies to measure the experience and enhance people's engagement across various digital touchpoints. Enjoy this saturated 360¬∞ brand experience, and see how it opens the door for a much more engaging, prosperous, and valuable customer relationship and ensures that your business is permanently growing by making it digitally utterly competitive and scalable.
 
 No matter what the challenge, Saturized has got the means, know-how, experience, and dedication to function as your full-service digital partner who continually adjusts to the values, mission, and vision your company promotes. Our team of experienced professionals, who are always ready to go beyond a successful launch to safeguard your powerful impact on the lives of your customers, meticulously crafts a diversified array of possible solutions.",https://www.saturized.com/,"$15,000"
5,Bluecap,https://webflow.com/@Bluecap,https://assets-global.website-files.com/6320a2f3bd0b234991397e96/636b4f84cb95e2b3d704464b_6184480a95d9f36e2692dc32_bluecap_profile_image_250x250.png,"Kansas City,United States",We provide strategic insight and web development by partnering with you directly and becoming a true part of your team!,"Hello there!
We break the norm of the ""agency"" model. We provide strategic insight and web development by partnering with your company and becoming a true part of your team.
We use the latest technologies in web development and design to build absolutely badass Webflow sites that are sure to check all of your boxes.
Your Webflow site is developed with you, not just developers, in mind. We will guide your team through learning how to use your website and never leave you stranded in the dark.",https://hellobluecap.com,"$15,000"
6,Blue Paprika,https://webflow.com/@sabines-workspace-e5c583,https://assets-global.website-files.com/6320a2f3bd0b234991397e96/636b4f6be7b379a7c25ad3fa_62b072f609379cf97b4a46a4_Blue_Paprika_Logo.png,"Paris,France",Take your digital experience to the next level.,"Hello there. If you're looking to improve your brand, you've come to the right place.

We are your personal expert in website design and development.
We imagine and create our clients' visual identity, and bring it to life through a bespoke digital platform. As a visual design agency, Blue Paprika offers you a complete, unique and inspiring branding package, as well as the UX/UI design of your website, for an intuitive, elegant and engaging user experience.",https://bluepaprika.webflow.io,"$5,000"
7,Pretty Nice Websites,https://webflow.com/@pretty-nice-websites,https://assets-global.website-files.com/6320a2f3bd0b234991397e96/636b4f9a39479ee765434849_60c10c8fdf5920a1535aa7ed_PNW_blue_back.png,"San Diego,United States",A Web Design Agency for folks who may not be interested in dealing with Web Design Agencies.,"We're Pretty Nice Websites and we design and build exactly that... pretty nice websites. Why not ""amazing"" or ""super siiiqqq"" websites you might ask? Simple, we're not completely full of ourselves. We're a small team of creatives who just love to design and build great websites that help our clients make money and our mothers proud. If this sounds like your cup of tea, sweet! Contact us today and lets see what we can do for you.",https://www.prettynicewebsites.com/,"$5,000"
8,M2 Studio,https://webflow.com/@m2-studio,https://assets-global.website-files.com/6320a2f3bd0b234991397e96/644218eccf4546974c1ccd2d_beCCvLjx26xCp8cyVlBTeSGOnpfWAGgUf8ekDlg6wB0.png,"Melbourne,Australia","We're a digital agency with a difference. Our dedication to branding, web design & SEO gets you real results.","With over 16 years of experience, we're a Melbourne design studio that's different. Yes, we specialise in branding, web design and SEO. No, we don't pull tricks or give you any BS. Our passion is to create custom designs that get you results! Whether you're a start-up or an established business, our team of talented designers and Webflow developers go above and beyond.",https://www.m2studio.com.au/,"$3,000"
9,Defijn,https://webflow.com/@defijn-agency,https://assets-global.website-files.com/6320a2f3bd0b234991397e96/636b493fcbddd7b79a928282_623ae92cbddb189a43ea39ea_headshot.png,"Cape Town,South Africa","We craft striking online experiences. We have helped established brands and startups across the globe, from Silicon Valley all the way to Singapore. Check us out!","Defijn is a global digital experience studio focussed on Brand Strategy, User Experience and User Interface Design, and Software Development.

We help launch startups from the ground up with great success in Silicon Valley, Africa, Asia, and Australia.

We help businesses solve complex problems online through human-centric design.

Speak to us today about your online needs, we love meeting new people!",https://www.defijn.io,"$5,000"
